timestep;Infected1;Infected2;Infected3;Infected4;Infected5;Infected6;Infected7;Infected8;Config
1;1;1;1;1;1;1;1;1;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
2;29.97979798;8.373737374;8.550561798;4.835714286;10.72588832;12.77209302;8.448763251;5.791044776;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
3;96.36363636;44.59090909;35.07865169;23.675;25.95431472;31.10232558;19.29681979;14.79104478;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
4;170.8484848;109.8434343;88.57022472;58.23928571;46.97969543;49.49767442;32.10600707;24.83084577;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
5;209.5707071;166.4292929;139.0814607;100.9607143;66.34010152;61.70697674;41.16254417;32.58208955;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
6;209.4646465;191.3737374;164.4691011;133.225;75.8680203;67.08837209;48.87985866;34.97014925;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
7;195.5505051;187.5252525;164.7134831;143.1464286;80.52791878;68.46046512;53.37809187;34.46268657;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
8;187.7727273;178.7424242;158.0224719;137.425;81.34517766;66.45116279;53.77738516;34.85572139;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
9;178.3787879;174.4393939;153.0561798;131.9857143;77.41624365;67.90697674;55.33215548;32.7761194;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
10;176.6111111;170.030303;147.6544944;125.9321429;75.91878173;68.60930233;53.98586572;31.99502488;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
11;177.1111111;165.0454545;144.1657303;121.8964286;75.26395939;68.10232558;54.55830389;33.13432836;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
12;179.6010101;166.6010101;144.8174157;120.8285714;75.76649746;69.49302326;53.4204947;30.89054726;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
13;178.5151515;166.8787879;146.1938202;122.1107143;75.36548223;67.61395349;52.80212014;32.04477612;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
14;182.1414141;166.5858586;146.2078652;123.5464286;73.08629442;66.26511628;52.72791519;32.02985075;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
15;181.5909091;169.7323232;146.2780899;125.6464286;74.17258883;66.33953488;51.87985866;30.64179104;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
16;181.0909091;169.9040404;144.994382;125.3964286;72.82233503;64.4372093;50.63957597;28.06965174;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
17;177.2171717;165.7323232;146.6544944;125.625;72.96954315;63.53023256;50.30742049;27.27860697;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
18;179.9343434;167.2878788;147.3426966;123.9071429;73.74619289;63.94883721;51.66077739;26.03482587;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
19;181.2828283;167.3585859;147.1825843;122.2535714;72.04568528;63.43255814;51.77385159;26.72636816;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
20;180.6161616;166.2525253;145.4859551;123.4857143;73.75634518;63.09302326;51;25.64676617;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
21;178.3383838;169.0353535;145.6095506;122.4142857;75.6751269;62.90697674;51.03886926;25.80597015;Config: (P_S, P_IR, P_R) = (0.8, 0.6, 0.5)
