Timestep;NI_Thr=0.5;NI_Thr=0.8;NI_Thr=0.2;Config
0;1;1;1;L:H=70:30
1;7.56;9.65648855;7.1;L:H=70:30
2;14.652;17.1221374;22.272;L:H=70:30
3;23.804;22.46946565;38.2;L:H=70:30
4;31.608;27.61068702;47.728;L:H=70:30
5;34.808;29.57251908;54.316;L:H=70:30
6;35.24;30.04961832;57.24;L:H=70:30
7;37.872;29.83969466;60.196;L:H=70:30
8;37.568;30.30152672;60.948;L:H=70:30
9;35.588;29.96564885;60.224;L:H=70:30
10;34.64;28.89312977;60.376;L:H=70:30
11;34.832;27.30152672;60.144;L:H=70:30
12;33.264;24.86641221;60.952;L:H=70:30
13;31.232;24.19465649;60.356;L:H=70:30
14;31.404;22.86641221;59.944;L:H=70:30
15;29.216;21.3740458;59.724;L:H=70:30
16;28.752;21.95419847;60.32;L:H=70:30
17;27.624;21.61450382;59.632;L:H=70:30
18;26.684;19.51908397;58.428;L:H=70:30
19;24.928;19.59160305;58.5;L:H=70:30
20;24.74;19.53053435;58.928;L:H=70:30
0;1;1;1;L:H=90:10
1;6.876;4.506024096;4.78;L:H=90:10
2;16.268;14.6746988;28.952;L:H=90:10
3;30.476;25.56626506;78.724;L:H=90:10
4;44.64;37.40562249;125.512;L:H=90:10
5;58.172;46.35742972;136.588;L:H=90:10
6;65.552;50.69477912;129.82;L:H=90:10
7;66.22;48.67068273;124.404;L:H=90:10
8;67.144;47.6064257;119.164;L:H=90:10
9;66.516;47.09638554;119.164;L:H=90:10
10;63.448;47.46586345;121.308;L:H=90:10
11;62.952;45.54618474;118.272;L:H=90:10
12;62.992;43.6746988;118.844;L:H=90:10
13;63.82;41.77108434;118.464;L:H=90:10
14;63.572;41.63052209;118.92;L:H=90:10
15;61.364;42.54618474;118.428;L:H=90:10
16;63.976;42.62248996;120;L:H=90:10
17;62.34;41.47389558;119.76;L:H=90:10
18;62.028;40.42971888;118.208;L:H=90:10
19;63.48;41.94779116;119.568;L:H=90:10
20;63.044;42.31325301;118.28;L:H=90:10
