timestep;IM+MSGS/T8;IM+MSGS/T10;IM+MSGS/T10000;MSGS/T8;MSGS/T10;MSGS/T10000;Config
0;1;1;1;1;1;1;L:H=70:30
1;17.75498575;15.56081081;5.457055215;16.14606742;23.72289157;11.74916388;L:H=70:30
2;49.66381766;46.58108108;27.61042945;56.92883895;65.19578313;42.57859532;L:H=70:30
3;89.36467236;84.94932432;72.24233129;109.1947566;113.7289157;87.29765886;L:H=70:30
4;115.5641026;113.0236486;112.9601227;145.8314607;144.7168675;124.9866221;L:H=70:30
5;124.8376068;123.6722973;132.3527607;152.3333333;151.1957831;141.9431438;L:H=70:30
6;123.1566952;119.75;134.1932515;144.7340824;145.746988;140;L:H=70:30
7;117.4159544;117.6824324;124.8711656;139.5805243;140.0361446;132.5919732;L:H=70:30
8;113.8547009;113.9189189;116.0460123;138.9475655;135.560241;127.3177258;L:H=70:30
9;113.6752137;114.1891892;111.898773;140.0561798;134.6746988;126.8394649;L:H=70:30
10;112.4900285;114.0641892;108.9601227;139.8539326;135.8584337;126.9866221;L:H=70:30
11;111.005698;114.2972973;107.6196319;142.1835206;137.5963855;128.1605351;L:H=70:30
12;111.7720798;111.3243243;105.0276074;143.8876404;139.4036145;125.6421405;L:H=70:30
13;114.3190883;109.1283784;104.5858896;144.8801498;140.6837349;122.6889632;L:H=70:30
14;115.5726496;111.9290541;103.9018405;144.5730337;142.8463855;123.1672241;L:H=70:30
15;116.1737892;112.9864865;103.9294479;146.2247191;142.503012;126.1471572;L:H=70:30
16;117.2507123;113.3682432;105.7638037;148.2883895;144.753012;128.2374582;L:H=70:30
17;118.4928775;115.9831081;105.6165644;150.2621723;146.6927711;127.5685619;L:H=70:30
18;117.2022792;116.3918919;102.4631902;151.7303371;149.6626506;124.9665552;L:H=70:30
19;116.7720798;115.2668919;101.5736196;153.8014981;149.6566265;123.8528428;L:H=70:30
20;116.7037037;115.0472973;100.0766871;154.3333333;148.9337349;123.8963211;L:H=70:30
0;1;1;1;1;1;1;L:H=90:10
1;15.60313316;22.5483871;17.73611111;13.28571429;11.00294118;12.48338369;L:H=90:10
2;45.01044386;67.56079404;52.30208333;41.95767196;33.42941176;35.90030211;L:H=90:10
3;88.38381201;116.6923077;96.10416667;94.28571429;69.96470588;72.26283988;L:H=90:10
4;124.4516971;143.0769231;124.1041667;140.547619;111.7970588;114.5558912;L:H=90:10
5;141.1305483;146.0297767;135.2465278;156.4867725;140.5117647;140.570997;L:H=90:10
6;142.8563969;140.7022333;137.3090278;156.7566138;151.4352941;144.6072508;L:H=90:10
7;142.3002611;136.9503722;132.3888889;152.473545;149.7529412;139.7703927;L:H=90:10
8;139.0966057;133.1066998;127.1180556;149.4470899;141.85;136.6193353;L:H=90:10
9;138.8276762;134.1439206;123.0347222;146.6296296;141.1676471;135.6102719;L:H=90:10
10;141.0261097;136.7890819;123.4340278;146.6798942;143.6323529;133.0151057;L:H=90:10
11;140.535248;138.8635236;121.6979167;149.7460317;143.0705882;129.489426;L:H=90:10
12;143.1201044;139.3325062;120.7430556;153.1640212;144.0029412;129.9546828;L:H=90:10
13;142.5796345;137.3895782;118.9652778;154.3439153;147.4;133.0060423;L:H=90:10
14;143.5822454;138.0620347;120.4340278;154.6084656;146.9911765;133.0845921;L:H=90:10
15;144.4673629;139.8138958;121.8333333;155.7169312;149.4794118;134.2386707;L:H=90:10
16;146.45953;143.2158809;120.3020833;155.9047619;153.8264706;132.652568;L:H=90:10
17;148.4046997;145.382134;120.9131944;158.3571429;153.3617647;134.3111782;L:H=90:10
18;147.9843342;145.7220844;121.7013889;160.4867725;154.2058824;135.5135952;L:H=90:10
19;148.5326371;145.8833747;121.1145833;159.9100529;154.3352941;133.2809668;L:H=90:10
20;147.8981723;146.4640199;122.0486111;159.6746032;154.5;133.0966767;L:H=90:10
